Table 3.1. Oyster model inventory.,,,,,,,,,,,,,
"[chl a, chlorophyll a; m, meter; m2, square meter, km2, square kilometer; ppt, parts per thousand; %, percent;  USGS, United State Geological Survey; LDWF, Louisiana Department of Wildlife and Fisheries; NOAA, National Oceanographic and Atmospheric Administration; CRMS, Coastwide Reference Monitoring Stations;  VIMS, Virginia Institute of Marine Sciences;  ADCIRC, Advanced Circulation Model; EPA, U.S. Environmental Protection Agency; LUMCON, Louisiana Marine Consortium]",,,,,,,,,,,,,
Model approach/Part of oyster life cycle,Reference,Location,Model description and objective, Model input variables,Timeframe and sources for input data in modeling study,Modeled processes ,Model output variables,Spatial description,Temporal description,Oyster model calibration/Validation,Coupled model calibration/Validation,Applicability for siting broodstock oyster reefs ,Model accessibility and ease of use
Habitat suitability index models,,,,,,,,,,,,,
Habitat Suitability Index ,Cake (1983),Northern Gulf of Mexico,"Discrete Habitat Suitability Index (HIS) model for larval settlement and post-settlement spat, seed and sack life stages on reefs constructed from the literature and developed to apply with field data collections in Northern Gulf of Mexico estuaries. Seminal work. ","Oyster density
Predator (density)
Disease (Perkinsus marinus intensity)
Salinity
Bottom type/xubstrate
Oyster beds/cultch",None. This was the seminal study providing a hypothesis of species-habitat relations. ,"Suitability functions from 0 to 1
","Oyster habitat suitability (larval settlement)
Oyster habitat suitability (on-reef oysters)
",None—original discrete oyster HSI model proposed for field validation across all of the Northern Gulf of Mexico ,"Single HSI score for specific location based on seasonal, annual and (or) long-term data","None for this original HSI publication, but used for many of the below cited, validated models. ",Not applicable,"Provides easy to use means to assess suitability of habitat for oysters at specific locations. 

Ability to examine suitability for predicted future conditions easy.  ","Easy to construct and communicate. 

Most recent HSIs have been adapted from Cake (1983) and Soniat and Brody (1988)"
Habitat Suitability Index ,Soniat and Brody (1988),"Galveston Bay, Texas",Discrete HSI modified from Cake (1983) via field validation study of oyster density data from 38 reef and non-reef 0.1-hectare sites. ,"Oyster density
Salinity 
Predator (density, optional)
Disease (Perkinsus marinus intensity, optional)
Bottom type/substrate
Oyster beds/cultch-percent ","Field studies for HSI validation conducted in May-June 1985 including percent bottom cultch in area, mean density of oysters, mean predator density and mean disease intensity. 

Mean summer and historical salinity, and interval between killing floods.","Suitability functions from 0 to 1
","Oyster habitat suitability  (on-reef oysters)
Predator, disease effects optional 
","Discrete HSI score estimated for each of 38 sites located in Galveston Bay, Texas. ","Single HSI score for specific location based on seasonal, annual and (or) long-term data",Field validation and resulting modification of Cake (1983) HIS,Not applicable,"Provides easy to use means to assess suitability of habitat for oysters at specific locations.

Ability to examine suitability for predicted future conditions easy.  ","Easy to construct and communicate. 

Most recent HSIs have been adapted from Cake (1983) and Soniat and Brody (1988)"
Habitat Suitability Index ,Denapolis (2018),"Pontchartrain, Breton, and Barataria Basins, Louisiana",Expansion of Soniat and others (2013) discrete HSI using historical salinity data from multiple stations to visualize HSI scores by year based on the opening and operations of Mississippi River diversions. ,Salinity ,"Combined salinity data for 1967-2016 from USGS, Lake Pontchartrain Basin Foundation, LDWF, NOAA and CRMS field stations averaged by week. 

Spatial salinity data used to estimate mean monthly salinity for spawning season, mean annual salinity, and minimum monthly salinity for warm months and for cold months ","Suitability functions from 0 to 1
",Oyster habitat suitability (on-reef oysters),Discrete HSI score for each station location,Annual HSI maps generated from 1967-2016 station data over project domain,"HSI scores evaluated with spat, seed, and sack abundance data, cultch quality, and reef size for LDWF oyster stations from 2012-2016 ",Not applicable,"Provides easy to use means to assess suitability of habitat for oysters at specific locations. 

Expansion of Soniat and others (2013) discrete HSI used with historical salinity data from multiple stations 

Approach mapped HSI scores by year to create suitability profiles over project domain provides useful visual for site selection. ","Easy to construct and communicate, following Denapolis (2018). 
"
Habitat Suitability Index , Barnes and others (2007),"Caloosahatchee Estuary, Florida",Spatially explicit HSI for larval and adult oysters coupled to the South Florida Water Management Model (SFWMM) and salinity regression model of the estuary for evaluating changing oyster suitability for four hydrologic and land use alternatives for the C-43 West Basin Reservoir Project in Southwest Florida.,"Salinity
Water temperature 
Bottom type/xubstrate
Current velocities (flow)
Water depth","Single years of daily SFWMM hydro model outputs to drive the salinity regression model and simulate a wet year (1995), normal year (1996) and dry year (2000).

Coupled SFWMM-salinity models used to generate monthly mean salinity and temperature, number of high water flow days, hard substrate presence also estimated spatially, to estimate spatial HSI scores by year","Suitability functions from 0 to 1
",Oyster habitat suitability  (on-reef oysters),HSI scores determined by 45-m2 grid cells across estuary,Average annual HSI score estimated from monthly HSI scores dependent on monthly data. HSI models run to compare multiple single years ,No formal calibration/validation performed for this publication.  ,None noted in publication however the Caloosahatchee SFWMM simulates daily conditions from 1965-present with the estuary salinity regression model used often by agencies for water resource projects and management,"Uses environmental means to assess suitability of habitat for oysters across time and space for an estuary or region. 

Ability to examine suitability for predicted future conditions easy and useful for site selection for future conditions.  ","Easy to construct and communicate, following Barnes and others (2007). 
"
Habitat Suitability Index ,"Soniat and others (2013), Hijuelos and others (2016), Lindquist and others (2021)",Coastal Louisiana,Spatially explicit HSI updated every 5 years for the Louisiana Coastal Management Plan modeling framework to evaluate oyster suitability across Louisiana over 50 years based on outputs generated by the Integrated Compartment Model for a suite of restoration alternatives.,"Salinity 

Open water 
Sediment accumulation ","Mean monthly salinity during spawning season, minimum monthly salinity for warm months, and for cold months, mean annual salinity, percent open water in cell, mean monthly sediment accumulation (centimeters per month) in cell added for 2023 version (Lindquist and others, 2021)","Suitability functions from 0 to 1
","Oyster habitat suitability (on-reef oysters)

",HSI scores determined by 500-m2 grid cells across coastal Louisiana,"Annual HSI score estimated from annual or decadal land/water data, and average monthly salinity data, generated by the LACMP ICM models",Qualitative spatial validation of predicted high suitability score clusters with known existing oyster grounds for simulated ICM conditions from 1995-present,ICM projected salinity and water levels calibrated to station data for most recent 10 years,"Provides means to assess suitability of habitat for oysters across time and space for an estuary or region. 

Ability to examine suitability for predicted future conditions easy and useful for selection of site for future conditions. 

Validated and calibrated for all Louisiana estuaries for the state coastal master plan efforts. ","Easy to construct and communicate, following Soniat and others (2013), Hijuelos and others (2016), Lindquist and others (2021)"
Habitat Suitability Index ,"Beseres Pollack and others (2012), Reisinger and others (2020)","Mission-Aransas Estuary, Tex. (Beseres Pollack and others, 2012)
Sabine Lake, Galveston Bay, Matagorda Bay, San Antonio Bay, Copano Bay, Corpus Christi Bay, Baffin Bay, Lower Laguna Madre, Tex. (Reisinger and others, 2020)",Geospatial HSI using GIS framework for reef suitability index (RSI) and reef quality index (RQI) models to characterize the suitability of locations based on their potential for successful reef restoration ,"Oyster size distribution
Oyster density (live, dead)
Oyster recruitment
Disease (P. marinus presence)
Salinity 
Water temperature 
Dissolved oxygen 
Turbidity","GIS data layers for RSI and RQI from interpolated TPWD monthly samples at 20 dredge stations from 1986-2009 including live and dead oysters, shell lengths, and spat set, and monthly salinity, temperature, DO, and turbidity from 1975-2009, Perkinsus presence data collected quarterly at eight stations from 2004-2009 ","Suitability functions from 0 to 1
","Oyster habitat suitability (larval + on-reef); restoration suitability index 
Reef Quality Index RQI; larval + on-reef)

",Spatially interpolated point data with rasters created using 0.1 minute (~ 180 m) resolution for GIS data input data layers for estimating RSI and RQI across the estuary,Single map of RSI and RQI for the estuary created from long-term TPWD monitoring data (1986-2009),"Qualitative spatial verification of high and low RSI and RQI scores to demonstrate the environmental, relative oyster abundance, and Perkinsus presence data across the stations",Not applicable,"Provides relatively easy to use means to assess suitability of habitat for oysters across time and space for an estuary or region. 

Ability to examine suitability for predicted future conditions can be done by using numerical modeling output for the GIS spatial data layers.",Geospatial HSI using GIS framework relatively easy to construct for use across Northern Gulf of Mexico estuaries based on Swannack and others (2014) and Beseres Pollack and others (2012) publications. 
Habitat Suitability Index ,Swannack and others (2014),"western Mississippi Sound, Mississippi;
Lower Rappahannock River System, Chesapeake Bay (Atlantic Coast)",Geospatial HSI using GIS framework and suitability functions from Soniat and others (2012) to evaluate oyster reef suitability in a data-rich estuary and data-poor estuary to determine how data quality affects applicability for restoration ,"Oyster beds/cultch 
Salinity","Mean salinity during spawning season, minimum annual salinity, and mean annual salinity estimated from: (1) bottom salinities generated for 870 grid cells in 1997, 1998, 1999 from the curvilinear-grid 3D model (CH3D) of the Lower Rappahannock River; and (2) Mean seasonal salinities interpolated from NOAA's National Oceanographic Data CenterODC salinity data at 0.10o and 0.25o grid cell resolution for Mississippi.

Percent cultch estimated from NOAA's integrated benthic characterization data base for LRRS, and from 2005 oyster reef mapping for Mississippi Sound","Suitability functions from 0 to 1
","Oyster habitat suitability  (larval settlement)
Oyster habitat suitability (on-reef oysters)
",Data layers and RSI scores by GIS grid cells covering 1) 871-km2 of the Lower Rappahannock River; 2) a 942-km2 region of the western Mississippi Sound ,"Single RSI map estimated from annual cultch/bottom type data, and mean daily and (or) monthly salinity data within a year for each system (1997, 1998, 1999)",Qualitative spatial validation of projected oyster RSI scores in Mississippi Sound compared to known locations of commercial oyster reefs,"Model runs from the CH3D hydrodynamic model of Chesapeake Bay (Kim and others, 2013) calibrated for 1993-2000","Provides relatively easy to use means to assess suitability of habitat for oysters across time and space for an estuary or region. 

Ability to examine suitability for predicted future conditions.

Provides example of building HSI by using numerical modeling output such as the CH3D model described in this study for the GIS environmental spatial data layers.",Geospatial HSI using GIS framework relatively easy to construct for use across Northern Gulf of Mexico estuaries based on Swannack and others (2014) and Beseres Pollack and others (2012) publications. 
Habitat Suitability Index ,Linhoss and others (2016),"Bay St. Louis, Miss.",Spatially explicit HSI using maximum entropy theory to construct suitability maps based on oyster occurrence data and environmental conditions generated by hydrodynamic and water quality models of the estuary,"Salinity
Water temperature
Dissolved oxygen
Bottom type/substrate","Daily water depth, average salinity, maximum temperature, minimum temperature, and minimum DO generated by a EFDC hydrodynamic model with a WASP water quality model of the bay for 2011 

Oyster reef shapefiles from NOAA 2011 survey centered to point data for MaxEnt occurrence model ","Suitability functions from 0 to 1
","Oyster habitat suitability (larval settlement)
Oyster habitat suitability (on-reef oysters)
","EFDC hydrodynamic model grid is 750 horizontal cells and two vertical layers over 168-km2 Bay St. Louis 

EFDC and WASP model outputs converted to 30×30-m cells for the MaxEnt occurrence model ","Single percent cover suitability map generated for 2011, with 64 total simulations run with MaxEnt using one to six environmental factor combinations",Model optimization using ROC statistic from MaxEnt to plot true positives against false positives based on fitting to observed oyster species occurrence data,"EFDC generated surface elevation calibrated to NOAA gauge for 2011, salinity and temperature from EFDC and water quality variables from WASP calibrated to 52 MDEQ monitoring stations from March-November 2011 ","Provides an alternative machine learning method for describing percent cover suitability map for oysters across time and space for an estuary or region. 

Provides ability to examine suitability for predicted future conditions can be done by using numerical modeling output (that is, EFDC and WASP) for coupling with the MaxEnt grid.","MaxEnt is a machine learning method, and a lesser known alternative to the typical HSI formulations and methods. 
 
Open source software available on github for this approach. Requires more effort that other HSI approaches. "
Habitat Suitability Index ,Preau and others (2016),"Pontchartrain and Breton Sound Basins, La.","Geospatial HSI using GIS framework to compare projected oyster suitability based on (1) the monthly salinities from historical spatfall and seed production data, and (2) salinity suitability functions from Soniat and others (2013)  ",Salinity,"Bi-weekly surface salinity maps from LPBF Hydrocoast data used from January 2013 through December 2015 to calculate and compare maps of salinity suitability in 2013, 2014, and 2015 for (1) mean monthly salinity; and (2) mean salinity during spawning season, minimum monthly salinity, and average annual salinity (Soniat and others, 2013) ","Suitability functions from 0 to 1
","Oyster Habitat Suitability (larval settlement)
Oyster Habitat Suitability (on-reef oysters)
",Optimal salinity suitability classes by 500-m grid cells for Pontchartrain/Breton Sound Basin domain ,"Single map for optimal oyster salinity suitability generated for 2013, 2014, 2015",Not applicable,Not applicable,"Provides a relatively easy to use means to assess suitability of habitat for oysters across time and space for an estuary or region. 

This example limited oyster suitability factors to salinity; assumes salinity is the only restricting factor so not applicable more broadly. ",Geospatial HSI using GIS framework relatively easy to construct for use across Northern Gulf of Mexico estuaries. 
Habitat Suitability (Larval),"Milroy and others (2020a, b, c)","Louisiana, Mississippi, Alabama coastal shelf waters",Spatially explicit larval HSI using modeled coastal drifter location data coupled to simulated salinity and temperature fields generated from the Coupled-Ocean-Atmosphere-Wave-Sediment-Transport (COAWST) model ,"Salinity
Water Temperature","Coastal drifters were modeled from May through October 2017 using the COAWST model, with generated hourly salinity and temperature fields based on the modeled drifter locations","Suitability functions from 0 to 1
",Oyster Habitat Suitability (Larval) ,Larval HSI score estimated for drifter location and trajectory through time based on coupled COAWST model generated salinity and temperature,Hourly HSI score by larval drifter location and trajectory in 2017 over 28-day simulations for larval period,No formal calibration/validation performed for this publication. ,"None noted for this study listed on GRIIDC and using the COAWST model for the MS Sound and Bight (for example, Cambazoglu and Wiggert, 2020; Cambazoglu and others, 2020a, b, c, d)","This is an HSI type approach but for larvae, including water quality through drifter tracks to estimate larval survival.

Useful for thinking about larval movement including survival and for examining connectivity of resources. ","Ongoing works listed on GRIIDC as Milroy and others (2020a, b, c)"
Habitat Suitability Index ,Battista (1999),"Maryland (Chesapeake Bay), Atlantic Coast ","Geospatial HSI using Geographic Information System (GIS) framework to categorize oyster suitability based on drought, average, and flood river flow conditions in the estuary ","Disease (P. marinus intensity)
Salinity
Water temperature
Dissolved oxygen
Chlorophyll a
Bottom type/substrate

Total suspended solids 
","Salinity, temperature, water depth (meters), total suspended solids (TSS, grams per liter), bottom dissolved oxygen (DO, milligrams per liter), chl a (millgrams per cubic meter), and Perkinsus marinus intensity from digital environmental grids made from Chesapeake Bay Program (CBP) data sets for 18 stations from 1984-1996
 
Bottom substrate type data from MD DNR bottom survey (1974-1983) 

Susquehanna River flow data from USGS from 1968-1996 to categorize drought, average, and flood river flow ","Suitability functions from 0 to 1
",Oyster habitat suitability (On-reef oysters),"Continuous surface grids with cell size resolution of 2,500 m2 for project domain","Single HSI map produced for winter, spring, summer, fall under drought, average, and flood flow years (12 total maps), and an average annual map for drought, average, and flood flow year",No formal calibration/validation performed for this publication. ,Not applicable,Additional example of the geospatial HSI approach used in the Atlantic Ocean and summarized in table to provide additional summary information. ,Similar approaches exist for the Northern Gulf of Mexico. 
Habitat Suitability Index ,Starke and others (2011),"Hudson River Estuary, New York, Atlantic Coast",Geospatial HSI using GIS framework to identify suitable regions for oyster restoration in the estuary,"Salinity
Water Depth
Bottom Type/Substrate
","Sedimentary environment, sediment type, and water depth data subsampled from March through November via the New York State Department of Environmental Conservation GIS Clearinghouse between 1998 and 2003 

Mean bottom salinity across the study area calculated from long-term simulation of daily salinity by 2D hydrodynamic model from 1918-2005 .","Suitability functions from 0 to 1
","Oyster habitat suitability (On-reef oysters)

",Input data converted to raster format (10-m cell size) over Hudson River domain to estimate RSI score by cell,"Single RSI map generated for time period. RSI maps demonstrated for all four data layers, and each data layer, based on reclassified suitability values using weighting scenarios and salinity uncertainty for suitability.",No formal calibration/validation performed for this publication. ,None noted in this publication however the 2D hydrodynamic model simulating long-term conditions for Hudson River from 1918 to 2005 is maintained and used for state water resources and restoration projects,Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist that are calibrated for the Northern Gulf of Mexico. 
Habitat Suitability Index ,Theuerkauf and Lipscius (2016),"Great Wicomico River in Chesapeake Bay, Maryland., Atlantic Coast",Geospatial HSI using GIS framework to demonstrate quantitative validation of projected oyster reef HSI scores with live oyster density data collected from a network of low relief and high relief sanctuary reefs ,"Salinity
Bottom Type/Substrate
Water Depth ","Bottom type variables from 2009 NOAA acoustic seabed mapping and VIMS 2012 observations for oyster sanctuary network

Mean bottom salinity data from VIMS hydrodynamic model developed for Chesapeake Bay 

Bathymetric data from NOAA Chesapeake Bay DEM ","Suitability functions from 0 to 1
",Oyster habitat suitability (On-reef oysters),All point data converted to produce a 1×1-m raster grid of project domain ,Single map of HSI scores generated for 2011 ,Validation showed live oyster density data from 2011 VIMS surveys of low relief and high relief reefs in a sanctuary network were a sigmoidal function of projected HSI scores,None mentioned for VIMS hydrodynamic model of Chesapeake Bay tributaries ,Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist for the Northern Gulf of Mexico
Habitat Suitability Index ,Puckett and others (2018),"Pamlico Sound, N.C., Atlantic Coast",Geospatial HSI using GIS framework to evaluate oyster metapopulation persistence. Input parameters and weights decided from expert stakeholder meetings for oyster reef restoration,"Salinity
Dissolved oxygen
Bottom type/substrate
Water fepth
Proximity to stockpile sites

Sanctuary, cultch and natural reef larval export
Sanctuary , cultch and natural reef larval import
Boat ramp proximity 
SAV presence/location
Private lease location 
Nursery habitat location 
Military zone location
Navigational channel location","Summer salinity from 1987-2008, fall minimum DO from 1996-2014 and substrate type data from NC DMF surveys 

Water depth from NOAA bathymetry 

Larval import and export at reefs from May through August 2006-2010 from coupled hydrodynamic-particle tracking model 

Material stockpile sites, SAV, private leases, nursery areas from NC DMF surveys, public boat ramps from NC WRC,  military zones from NC DEQ, navigation channels from USGS ","Suitability functions from 0 to 1
",Oyster habitat suitability score (larval + on-reef oysters),"GIS-based geospatial grid of 5,987 1-km2 cells, which matched the spatial extent of the hydrodynamic and larval particle tracking model",Single map for HSI scores based on the combined data collection period,Validated model by demonstrating the HSI scores were a positive exponential function of normalized oyster density data on the oyster sanctuary reefs,"Hydrodynamic and oyster larval transport model previously validated for 2007 (Haase and others, 2012)","Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information …..............................................
Included expert stakeholder group to define 17 suitability variables and their weights for oyster reef restoration program","Similar approaches exist for the Northern Gulf of Mexico, but not with stakeholder input, and the number of logistical variables incorporated. "
Habitat Suitability Index ,Theuerkauf and others (2019),"Pamlico Sound, North Carolina, Atlantic Coast","Geospatial HSI using GIS framework for water filtration as an ecosystem service (ES) of reefs compared to and incorporated into the existing HSI for metapopulation persistence (see Puckett and others, 2018)","Chlorophyll a
Dissolved oxygen
Current velocities (flow) ","September monthly mean and % coeefficient of variation of chlorophyll a concentration from 300-m resolution satellite images from 2003 to 2011 

Bottom water flow velocity from ADCIRC model for September 2014, 2015 and 2012 

DO point data in fall at 522 stations between 1996 through 2014 ",Ecosystem Service/Suitability functions from 0 to 1,Oyster habitat suitability (larval + on-reef oysters),"GIS-based grid of 5,987 1-km2 cells ","Single map for HSI scores for the each of the three HSIs (ES HSI, metapopulation persistence HSI, and combined HSI) ",No formal calibration/validation performed for this publication.  ,"3D ADCIRC model previously validated for Pamilico Sound (Luettich and others, 1992, 2002)",Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist for the Northern Gulf of Mexico
Larval models ,,,,,,,,,,,,,
Larval Growth and Vertical Movement Model ,"Dekshenieks and others (1993, 1996, 1997)","Chesapeake Bay, Atlantic Coast ",Size-structured larval daily growth model with size-dependent movement and predation in a vertically resolved water column to evaluate larval oyster vertical distribution patterns in the water column,"Predation (mortality)
Salinity
Water Temperature
Food availability

Turbidity","10-m water column with 0.5-m vertical resolution for salinity, temperature, turbidity, food availability and predation mortality. Turbidity, food availability, and predation mortality change vertically and over time with salinity and temperature for 35 days ","Larval growth
Larval mortality
Larval behavior","Larval release location
Larval dispersal
Settlement/recruitment",Twenty 0.5-m vertical layers in a 10-m water column ,12-minute larval model timestep over 35-day model simulations ,"Modeled larval oyster sizes with vertical distribution verified with observed distribution of oyster size classes in 3-m water column for Great Bay, New Jersey (Carriker, 1951) in Dekshenieks and others (1993)",Not applicable,"Provides biological information on larval oyster growth and size-dependent vertical behavior with cues to temperature, salinity, turbidity and food that can be added to oyster larval transport models. ",Dekshenieks and others (2000) incorporates size-dependent movement into larval transport model for Galveston Bay.
"Larval Transport Model 
(with behavior) ",North and others (2008),"Chesapeake Bay Estuary, Atlantic Coast ",Vertical behavior for oyster larvae from laboratory studies added to the particle-tracking module (LTRANS) for the Regional Oceans Model System in Chesapeake Bay Estuary complex to determine if differences in larval behavior influence dispersal and encounters with suitable settlement habitat,"Oyster beds/cultch
Salinity
Current velocities (x,y,z)
Current velocities (x,y turbulence)","Regional Ocean Model System (ROMS) simulated current velocities, turbulence and salinity from 1995 to 1999 to drive larval transport model. 

GIS layer of oyster cultch polygons from bay bottom surveys conducted by Maryland in late 1970s to 1980, and by Virginia in the 1990s ","Larval transport
Larval growth
Larval behavior","Larval release location 
Larval dispersal
Settlement/recruitment ",Spatially explicit 3D particle tracking model in ROMS with 1-km horizontal grid spacing and 20 vertical layers for Chesapeake Bay.,Internal timestep of LTRANS is 120 seconds with 10-minute output timesteps for seasonal simulations of larval transport from June through August each year from 1995-1999.,No formal calibration/validation performed for this publication.,"ROMS Chesapeake Bay model (Li and others, 2005) previously validated for water elevations, current measurements, and long-term salinity and temperature time series data collected at stations by the Chesapeake Bay Program","Provides model of larval transport, connectivity and spat settlement across a network of reefs which are key to consider for broodstock reefs. 

Incorporates larval behavior. 

Provides seminal oyster larval transport modeling study often used in conceptualization and development of other larval transport models. ","Open source ROMS and off-line LTRANS code available online.

ROMS is one of many hydrodynamic modeling approaches available for use in the Northern Gulf of Mexico. "
"Larval Transport Model
(with growth and size-dependent behavior) ","Kim and others (2010, 2013)","Mobile Bay and eastern Mississippi Sound, Alabama, Northern Gulf of Mexico","Vertical behavior for oyster larvae added to the particle-tracking module of the Environmental Fluid Dynamics Code (EFDC) hydrodynamic and eutrophication model of Mobile Bay and Mississippi Sound to determine if larval transport describes persistent gradient in spat settlement decreasing from west to east, evaluate the seasonal variations and how flushing rates affect larval transport and retention, and determine if movement behavior influences transport ","Water temperature
Current velocities (x, y, z)
Current velocities (turbulence diffusivities) ","EFDC hydrodynamic and eutrophication model run for 2006 to drive larval transport model processes 

20-30 years of wind speed and direction, tidal amplitude, and river discharge data were used to create forcing functions in the EFDC to test how varying physical conditions affected retention and flux of larvae over additional 10-day simulations","Larval transport
Larval behavior","Larval release location
Larval dispersal
Settlement/recruitment","Spatially explicit particle tracking model in 21,705 surface-water cells with five vertical layers, with grid cell size ranging from 58 m to 2,000 m; spatial aggregation of observed and model predicted results by five larger zones in the project domain for larval transport model validation","Tracking daily larval transport over 215 days from April 1 to November 1, 2006; model validation simulations between predicted and observed data on time scale of overall average, season, and by oyster survey period",Validation of predicted oyster larval concentrations and spat settlement by five aggregated zones compared to observed bivalve larval concentration and spat settlement data from 18 stations collected every 3 weeks throughout 2006 ,"Noted in publication that EDFC surface elevation and salinity, mass transport was represented well for the system (Kim, 2009; Kim and Park, 2012)","Provides information on larval transport, connectivity and spat settlement across a network of reefs. 

Ability to examine connectivity and recruitment for predicted future conditions by using larval transport module with growth and behavior added in 3D hydrodynamic or circulation models","EFDC is one of many hydrodynamic and eutrophication modeling approaches available for use in the Northern Gulf of Mexico 

EFDC models have been set up for several Northern Gulf of Mexico estuaries and coastal regions by engineering firms for state and federal projects but are not available across all estuaries. "
